Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,race,AirTemp,TrackTemp
0 days 02:13:41.186000,RUS,63,0 days 00:01:33.083000,43.0,2.0,,,0 days 00:00:34.195000,0 days 00:00:29.250000,0 days 00:00:29.638000,0 days 02:12:42.434000,0 days 02:13:11.684000,0 days 02:13:41.322000,288.0,306.0,293.0,303.0,False,HARD,25.0,True,Mercedes,0 days 02:12:08.103000,2023-03-19 18:13:08.189,1,4.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:13:44.451000,HAM,44,0 days 00:01:33.011000,43.0,2.0,,,0 days 00:00:34.199000,0 days 00:00:29.248000,0 days 00:00:29.564000,0 days 02:12:45.739000,0 days 02:13:14.987000,0 days 02:13:44.551000,288.0,306.0,295.0,304.0,True,MEDIUM,25.0,True,Mercedes,0 days 02:12:11.440000,2023-03-19 18:13:11.526,1,5.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:13:49.151000,SAI,55,0 days 00:01:33.288000,43.0,2.0,,,0 days 00:00:34.156000,0 days 00:00:29.532000,0 days 00:00:29.600000,0 days 02:12:50.129000,0 days 02:13:19.661000,0 days 02:13:49.261000,287.0,297.0,294.0,304.0,True,HARD,28.0,True,Ferrari,0 days 02:12:15.863000,2023-03-19 18:13:15.949,1,6.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:13:51.555000,LEC,16,0 days 00:01:33.447000,43.0,2.0,,,0 days 00:00:34.200000,0 days 00:00:29.505000,0 days 00:00:29.742000,0 days 02:12:52.390000,0 days 02:13:21.895000,0 days 02:13:51.637000,,302.0,295.0,308.0,False,HARD,27.0,True,Ferrari,0 days 02:12:18.108000,2023-03-19 18:13:18.194,1,7.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:01.643000,OCO,31,0 days 00:01:33.897000,43.0,2.0,,,0 days 00:00:34.406000,0 days 00:00:29.633000,0 days 00:00:29.858000,0 days 02:13:02.257000,0 days 02:13:31.890000,0 days 02:14:01.748000,,295.0,292.0,301.0,False,HARD,27.0,True,Alpine,0 days 02:12:27.746000,2023-03-19 18:13:27.832,1,8.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:04.039000,GAS,10,0 days 00:01:34.026000,43.0,2.0,,,0 days 00:00:34.703000,0 days 00:00:29.570000,0 days 00:00:29.753000,0 days 02:13:04.786000,0 days 02:13:34.356000,0 days 02:14:04.109000,,296.0,293.0,301.0,False,HARD,29.0,True,Alpine,0 days 02:12:30.013000,2023-03-19 18:13:30.099,1,9.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:10.998000,TSU,22,0 days 00:01:33.989000,43.0,2.0,,,0 days 00:00:34.447000,0 days 00:00:29.704000,0 days 00:00:29.838000,0 days 02:13:11.536000,0 days 02:13:41.240000,0 days 02:14:11.078000,284.0,298.0,292.0,307.0,True,HARD,26.0,True,AlphaTauri,0 days 02:12:37.009000,2023-03-19 18:13:37.095,1,10.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:12.228000,MAG,20,0 days 00:01:34.108000,43.0,2.0,,,0 days 00:00:34.537000,0 days 00:00:29.527000,0 days 00:00:30.044000,0 days 02:13:12.735000,0 days 02:13:42.262000,0 days 02:14:12.306000,287.0,303.0,295.0,308.0,False,HARD,35.0,True,Haas F1 Team,0 days 02:12:38.120000,2023-03-19 18:13:38.206,1,11.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:16.469000,HUL,27,0 days 00:01:34.388000,43.0,2.0,,,0 days 00:00:34.736000,0 days 00:00:29.691000,0 days 00:00:29.961000,0 days 02:13:16.911000,0 days 02:13:46.602000,0 days 02:14:16.563000,285.0,300.0,296.0,306.0,False,HARD,32.0,True,Haas F1 Team,0 days 02:12:42.081000,2023-03-19 18:13:42.167,1,12.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:21.732000,ZHO,24,0 days 00:01:34.514000,43.0,3.0,,,0 days 00:00:34.732000,0 days 00:00:29.784000,0 days 00:00:29.998000,0 days 02:13:22.064000,0 days 02:13:51.848000,0 days 02:14:21.846000,285.0,297.0,290.0,304.0,False,MEDIUM,25.0,True,Alfa Romeo,0 days 02:12:47.218000,2023-03-19 18:13:47.304,1,13.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:24.955000,DEV,21,0 days 00:01:34.220000,43.0,2.0,,,0 days 00:00:34.650000,0 days 00:00:29.746000,0 days 00:00:29.824000,0 days 02:13:25.476000,0 days 02:13:55.222000,0 days 02:14:25.046000,,299.0,293.0,305.0,True,HARD,26.0,True,AlphaTauri,0 days 02:12:50.735000,2023-03-19 18:13:50.821,1,14.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:27.343000,SAR,2,0 days 00:01:35.229000,43.0,2.0,,,0 days 00:00:35.158000,0 days 00:00:29.895000,0 days 00:00:30.176000,0 days 02:13:27.272000,0 days 02:13:57.167000,0 days 02:14:27.343000,290.0,311.0,298.0,307.0,False,MEDIUM,25.0,True,Williams,0 days 02:12:52.114000,2023-03-19 18:13:52.200,1,15.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:27.588000,NOR,4,0 days 00:01:35.228000,43.0,3.0,,,0 days 00:00:35.213000,0 days 00:00:29.940000,0 days 00:00:30.075000,0 days 02:13:27.679000,0 days 02:13:57.619000,0 days 02:14:27.694000,283.0,316.0,306.0,329.0,False,MEDIUM,24.0,True,McLaren,0 days 02:12:52.360000,2023-03-19 18:13:52.446,1,16.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:28.053000,PIA,81,0 days 00:01:35.257000,43.0,2.0,,,0 days 00:00:35.405000,0 days 00:00:29.686000,0 days 00:00:30.166000,0 days 02:13:28.285000,0 days 02:13:57.971000,0 days 02:14:28.137000,288.0,327.0,308.0,323.0,False,HARD,42.0,True,McLaren,0 days 02:12:52.796000,2023-03-19 18:13:52.882,1,17.0,True,TRACK LIMITS AT TURN 23 LAP 43 ,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:47.362000,PER,11,0 days 00:01:32.267000,44.0,2.0,,,0 days 00:00:33.810000,0 days 00:00:29.112000,0 days 00:00:29.345000,0 days 02:13:49.038000,0 days 02:14:18.150000,0 days 02:14:47.495000,291.0,306.0,297.0,314.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:13:15.095000,2023-03-19 18:14:15.181,1,1.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:14:52.341000,VER,1,0 days 00:01:32.848000,44.0,2.0,,,0 days 00:00:33.922000,0 days 00:00:29.333000,0 days 00:00:29.593000,0 days 02:13:53.511000,0 days 02:14:22.844000,0 days 02:14:52.437000,292.0,306.0,298.0,312.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:13:19.493000,2023-03-19 18:14:19.579,1,2.0,False,,False,True,2023 Saudi Arabia,25.9,30.5
0 days 02:15:00.938000,BOT,77,0 days 00:01:35.288000,43.0,4.0,,,0 days 00:00:35.137000,0 days 00:00:30.003000,0 days 00:00:30.148000,0 days 02:14:00.911000,0 days 02:14:30.914000,0 days 02:15:01.062000,279.0,292.0,290.0,297.0,False,SOFT,8.0,True,Alfa Romeo,0 days 02:13:25.650000,2023-03-19 18:14:25.736,1,18.0,False,,False,True,2023 Saudi Arabia,26.0,30.3
