Compound,AirTemp,TrackTemp,Driver,race,LapTimeSeconds
HARD,22.5,31.7,HAM,2023 Austria,70.725
MEDIUM,22.5,31.7,ALO,2023 Austria,70.591
MEDIUM,22.5,31.7,PER,2023 Austria,69.321
HARD,22.5,31.7,GAS,2023 Austria,71.142
HARD,22.5,31.7,RUS,2023 Austria,70.731
HARD,22.5,31.7,ALB,2023 Austria,70.98
HARD,22.5,31.7,OCO,2023 Austria,71.036
HARD,22.5,31.5,STR,2023 Austria,74.734
HARD,22.5,31.5,SAR,2023 Austria,71.263
HARD,22.5,31.5,ZHO,2023 Austria,71.766
HARD,22.5,31.5,DEV,2023 Austria,71.487
HARD,22.5,31.5,TSU,2023 Austria,71.069
HARD,22.5,31.5,VER,2023 Austria,69.707
MEDIUM,22.5,31.5,BOT,2023 Austria,72.273
MEDIUM,22.5,31.5,LEC,2023 Austria,70.671
HARD,22.5,31.5,PIA,2023 Austria,71.211
MEDIUM,22.5,31.5,SAI,2023 Austria,70.329
HARD,22.5,31.5,MAG,2023 Austria,70.367
HARD,22.5,31.5,NOR,2023 Austria,70.73
HARD,22.5,31.5,HAM,2023 Austria,70.857
MEDIUM,22.5,31.5,ALO,2023 Austria,70.617
MEDIUM,22.5,31.5,PER,2023 Austria,69.338
HARD,22.5,31.4,GAS,2023 Austria,71.214
HARD,22.5,31.4,RUS,2023 Austria,70.794
HARD,22.5,31.4,ALB,2023 Austria,70.893
HARD,22.5,31.4,OCO,2023 Austria,71.115
HARD,22.5,31.4,SAR,2023 Austria,71.439
HARD,22.5,31.4,ZHO,2023 Austria,71.896
HARD,22.5,31.4,STR,2023 Austria,88.068
HARD,22.5,31.4,DEV,2023 Austria,74.889
HARD,22.5,31.4,TSU,2023 Austria,71.073
HARD,22.5,31.4,VER,2023 Austria,69.568
MEDIUM,22.5,31.4,BOT,2023 Austria,70.631
MEDIUM,22.5,31.4,LEC,2023 Austria,70.659
HARD,22.5,31.4,PIA,2023 Austria,71.099
MEDIUM,22.5,31.4,SAI,2023 Austria,70.311
HARD,22.5,31.4,MAG,2023 Austria,70.176
HARD,22.5,31.4,NOR,2023 Austria,70.696
HARD,22.5,31.4,HAM,2023 Austria,70.652
MEDIUM,22.5,31.4,ALO,2023 Austria,70.579
MEDIUM,22.5,31.4,PER,2023 Austria,69.258
HARD,22.5,31.4,GAS,2023 Austria,71.148
HARD,22.5,31.4,RUS,2023 Austria,70.964
HARD,22.5,31.4,ALB,2023 Austria,71.165
HARD,22.5,31.4,OCO,2023 Austria,71.585
HARD,22.5,31.4,SAR,2023 Austria,71.447
HARD,22.5,31.4,STR,2023 Austria,69.574
HARD,22.5,31.4,ZHO,2023 Austria,75.378
HARD,22.5,31.4,VER,2023 Austria,69.386
HARD,22.5,31.4,TSU,2023 Austria,72.269
